nom,prix,image_url,product_url,date_scraping,categorie
Eau minérale,0.300,https://cdn.geantdrive.tn/tunis-city/1306843-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/121850-eau-minerale.html,2026-02-03 08:14:13,boissons
Boisson instantannée,0.320,https://cdn.geantdrive.tn/tunis-city/1304647-home_default/boisson-instantannee.jpg,https://www.geantdrive.tn/tunis-city/boissons-instantanees/120700-boisson-instantannee.html,2026-02-03 08:14:13,boissons
Boisson instantannée,0.320,https://cdn.geantdrive.tn/tunis-city/1304649-home_default/boisson-instantannee.jpg,https://www.geantdrive.tn/tunis-city/boissons-instantanees/120702-boisson-instantannee.html,2026-02-03 08:14:14,boissons
Boisson instantannée,0.320,https://cdn.geantdrive.tn/tunis-city/1304648-home_default/boisson-instantannee.jpg,https://www.geantdrive.tn/tunis-city/boissons-instantanees/120701-boisson-instantannee.html,2026-02-03 08:14:14,boissons
Boisson instantannée,0.320,https://cdn.geantdrive.tn/tunis-city/1304646-home_default/boisson-instantannee.jpg,https://www.geantdrive.tn/tunis-city/boissons-instantanees/120699-boisson-instantannee.html,2026-02-03 08:14:14,boissons
Boisson instantannée,0.320,https://cdn.geantdrive.tn/tunis-city/1327751-home_default/boisson-instantannee.jpg,https://www.geantdrive.tn/tunis-city/boissons-instantanees/133487-boisson-instantannee.html,2026-02-03 08:14:14,boissons
Eau minérale,0.400,https://cdn.geantdrive.tn/tunis-city/1267797-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24483-eau-minerale.html,2026-02-03 08:14:14,boissons
Eau plate,0.400,https://cdn.geantdrive.tn/tunis-city/1144012-home_default/eau-plate.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24405-eau-plate.html,2026-02-03 08:14:14,boissons
Eau minérale,0.410,https://cdn.geantdrive.tn/tunis-city/1310504-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24484-eau-minerale.html,2026-02-03 08:14:14,boissons
Eau minérale,0.410,https://cdn.geantdrive.tn/tunis-city/1226800-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24479-eau-minerale.html,2026-02-03 08:14:14,boissons
Eau minérale,0.420,https://cdn.geantdrive.tn/tunis-city/1184289-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24482-eau-minerale.html,2026-02-03 08:14:14,boissons
Eau minérale,0.420,https://cdn.geantdrive.tn/tunis-city/1253849-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/59780-eau-minerale.html,2026-02-03 08:14:14,boissons
Eau minérale,0.420,https://cdn.geantdrive.tn/tunis-city/1327426-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/133310-eau-minerale.html,2026-02-03 08:14:15,boissons
Eau minérale,0.420,https://cdn.geantdrive.tn/tunis-city/1143321-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24392-eau-minerale.html,2026-02-03 08:14:15,boissons
Eau minérale,0.420,https://cdn.geantdrive.tn/tunis-city/1226822-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24485-eau-minerale.html,2026-02-03 08:14:15,boissons
Eau minérale,0.430,https://cdn.geantdrive.tn/tunis-city/1351186-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/146389-eau-minerale.html,2026-02-03 08:14:15,boissons
Eau de source,0.450,https://cdn.geantdrive.tn/tunis-city/1327370-home_default/eau-de-source.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/133270-eau-de-source.html,2026-02-03 08:14:15,boissons
Eau minérale,0.450,https://cdn.geantdrive.tn/tunis-city/1339977-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/135904-eau-minerale.html,2026-02-03 08:14:15,boissons
Eau gazéifiée,0.450,https://cdn.geantdrive.tn/tunis-city/1219791-home_default/eau-gazeifiee.jpg,https://www.geantdrive.tn/tunis-city/eaux-gazeifiees/24511-eau-gazeifiee.html,2026-02-03 08:14:15,boissons
Eau minérale,0.460,https://cdn.geantdrive.tn/tunis-city/1234918-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24397-eau-minerale.html,2026-02-03 08:14:15,boissons
Eau gazéifiée,0.480,https://cdn.geantdrive.tn/tunis-city/1219796-home_default/eau-gazeifiee.jpg,https://www.geantdrive.tn/tunis-city/eaux-gazeifiees/24510-eau-gazeifiee.html,2026-02-03 08:14:15,boissons
Eau minérale,0.500,https://cdn.geantdrive.tn/tunis-city/1180863-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/98312-eau-minerale.html,2026-02-03 08:14:15,boissons
Eau minérale,0.510,https://cdn.geantdrive.tn/tunis-city/1325815-home_default/eau-de-source.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/46205-eau-de-source.html,2026-02-03 08:14:16,boissons
Eau minérale,0.560,https://cdn.geantdrive.tn/tunis-city/1190212-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/30886-eau-minerale.html,2026-02-03 08:14:16,boissons
Boisson au jus,0.570,https://cdn.geantdrive.tn/tunis-city/1270717-home_default/boisson-au-jus.jpg,https://www.geantdrive.tn/tunis-city/pur-jus-de-fruits/31276-boisson-au-jus.html,2026-02-03 08:14:16,boissons
Eau de source,0.610,https://cdn.geantdrive.tn/tunis-city/1186685-home_default/eau-de-source.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24478-eau-de-source.html,2026-02-03 08:14:16,boissons
Eau gazéifiée,0.620,https://cdn.geantdrive.tn/tunis-city/1267719-home_default/eau-gazeifiee.jpg,https://www.geantdrive.tn/tunis-city/eaux-gazeifiees/24513-eau-gazeifiee.html,2026-02-03 08:14:16,boissons
Boisson au jus,0.620,https://cdn.geantdrive.tn/tunis-city/1342482-home_default/boisson-au-jus.jpg,https://www.geantdrive.tn/tunis-city/pur-jus-de-fruits/141611-boisson-au-jus.html,2026-02-03 08:14:16,boissons
Eau minérale,0.630,https://cdn.geantdrive.tn/tunis-city/1153933-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/40223-eau-minerale.html,2026-02-03 08:14:16,boissons
Eau minérale,0.640,https://cdn.geantdrive.tn/tunis-city/1184578-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24459-eau-minerale.html,2026-02-03 08:14:16,boissons
Eau minérale,0.640,https://cdn.geantdrive.tn/tunis-city/1223189-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24494-eau-minerale.html,2026-02-03 08:14:16,boissons
Eau minérale,0.650,https://cdn.geantdrive.tn/tunis-city/1221446-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24486-eau-minerale.html,2026-02-03 08:14:16,boissons
Eau de source,0.650,https://cdn.geantdrive.tn/tunis-city/1351166-home_default/eau-de-source.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/146373-eau-de-source.html,2026-02-03 08:14:16,boissons
Eau minérale,0.650,https://cdn.geantdrive.tn/tunis-city/1255523-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/37335-eau-minerale.html,2026-02-03 08:14:16,boissons
Eau de source,0.660,https://cdn.geantdrive.tn/tunis-city/1161346-home_default/eau-de-source.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/59362-eau-de-source.html,2026-02-03 08:14:16,boissons
Eau minérale,0.660,https://cdn.geantdrive.tn/tunis-city/1338997-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/140117-eau-minerale.html,2026-02-03 08:14:16,boissons
Eau gazéifiée,0.670,https://cdn.geantdrive.tn/tunis-city/1226504-home_default/eau-gazeifiee.jpg,https://www.geantdrive.tn/tunis-city/eaux-gazeifiees/24512-eau-gazeifiee.html,2026-02-03 08:14:16,boissons
Eau de source,0.670,https://cdn.geantdrive.tn/tunis-city/1327369-home_default/eau-de-source.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/133269-eau-de-source.html,2026-02-03 08:14:16,boissons
Eau minérale,0.690,https://cdn.geantdrive.tn/tunis-city/1142617-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24396-eau-minerale.html,2026-02-03 08:14:16,boissons
Eau minérale,0.690,https://cdn.geantdrive.tn/tunis-city/1325814-home_default/eau-de-source.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/46204-eau-de-source.html,2026-02-03 08:14:16,boissons
Eau minérale,0.690,https://cdn.geantdrive.tn/tunis-city/1339978-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/131568-eau-minerale.html,2026-02-03 08:14:16,boissons
Eau minérale,0.700,https://cdn.geantdrive.tn/tunis-city/1226500-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24491-eau-minerale.html,2026-02-03 08:14:17,boissons
Eau minérale,0.720,https://cdn.geantdrive.tn/tunis-city/1310505-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/24489-eau-minerale.html,2026-02-03 08:14:17,boissons
Eau minérale,0.720,https://cdn.geantdrive.tn/tunis-city/1338998-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/140118-eau-minerale.html,2026-02-03 08:14:17,boissons
Eau minérale,0.720,https://cdn.geantdrive.tn/tunis-city/1352935-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/146909-eau-minerale.html,2026-02-03 08:14:17,boissons
Eau minérale,0.750,https://cdn.geantdrive.tn/tunis-city/1180866-home_default/eau-minerale.jpg,https://www.geantdrive.tn/tunis-city/eaux-plates/95200-eau-minerale.html,2026-02-03 08:14:17,boissons
Boisson au jus,0.750,https://cdn.geantdrive.tn/tunis-city/1328621-home_default/boisson-au-jus.jpg,https://www.geantdrive.tn/tunis-city/pur-jus-de-fruits/104711-boisson-au-jus.html,2026-02-03 08:14:17,boissons
Boisson au jus,0.750,https://cdn.geantdrive.tn/tunis-city/1328620-home_default/boisson-au-jus.jpg,https://www.geantdrive.tn/tunis-city/pur-jus-de-fruits/104710-boisson-au-jus.html,2026-02-03 08:14:17,boissons
Pâtes chorba,0.225,https://cdn.geantdrive.tn/tunis-city/1267774-home_default/pates-chorba.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/33043-pates-chorba.html,2026-02-03 08:14:38,epicerie
Pâte chorba Millet,0.225,https://cdn.geantdrive.tn/tunis-city/1267773-home_default/pate-chorba-millet.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25587-pate-chorba-millet.html,2026-02-03 08:14:39,epicerie
Pâte millet,0.225,https://cdn.geantdrive.tn/tunis-city/1219668-home_default/pate-millet.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25597-pate-millet.html,2026-02-03 08:14:39,epicerie
Gâteau,0.270,https://cdn.geantdrive.tn/tunis-city/1255444-home_default/gateau.jpg,https://www.geantdrive.tn/tunis-city/madeleines-et-cakes/88377-gateau.html,2026-02-03 08:14:39,epicerie
Gâteau,0.270,https://cdn.geantdrive.tn/tunis-city/1255446-home_default/gateau.jpg,https://www.geantdrive.tn/tunis-city/madeleines-et-cakes/88378-gateau.html,2026-02-03 08:14:39,epicerie
Chocolat,0.290,https://cdn.geantdrive.tn/tunis-city/1223067-home_default/chocolat.jpg,https://www.geantdrive.tn/tunis-city/tablettes-et-barres-de-chocolat/28138-chocolat.html,2026-02-03 08:14:39,epicerie
Gaufrettes,0.300,https://cdn.geantdrive.tn/tunis-city/1158564-home_default/gaufrettes.jpg,https://www.geantdrive.tn/tunis-city/gaufrettes/57100-gaufrettes.html,2026-02-03 08:14:40,epicerie
Gaufrette,0.300,https://cdn.geantdrive.tn/tunis-city/1223053-home_default/gaufrette.jpg,https://www.geantdrive.tn/tunis-city/gaufrettes/29076-gaufrette.html,2026-02-03 08:14:40,epicerie
Bonbon gélifié,0.300,https://cdn.geantdrive.tn/tunis-city/1159790-home_default/bonbon-gelifie.jpg,https://www.geantdrive.tn/tunis-city/bonbons/98903-bonbon-gelifie.html,2026-02-03 08:14:40,epicerie
Gaufrette,0.300,https://cdn.geantdrive.tn/tunis-city/1223049-home_default/gaufrette.jpg,https://www.geantdrive.tn/tunis-city/gaufrettes/29074-gaufrette.html,2026-02-03 08:14:40,epicerie
Chocolat fourré,0.310,https://cdn.geantdrive.tn/tunis-city/1141774-home_default/chocolat-fourre.jpg,https://www.geantdrive.tn/tunis-city/tablettes-et-barres-de-chocolat/30525-chocolat-fourre.html,2026-02-03 08:14:40,epicerie
Chocolat fourré,0.310,https://cdn.geantdrive.tn/tunis-city/1223055-home_default/chocolat-fourre.jpg,https://www.geantdrive.tn/tunis-city/tablettes-et-barres-de-chocolat/28120-chocolat-fourre.html,2026-02-03 08:14:40,epicerie
Chocolat fourré,0.310,https://cdn.geantdrive.tn/tunis-city/1223059-home_default/chocolat-fourre.jpg,https://www.geantdrive.tn/tunis-city/tablettes-et-barres-de-chocolat/28113-chocolat-fourre.html,2026-02-03 08:14:40,epicerie
Chocolat fourré,0.310,https://cdn.geantdrive.tn/tunis-city/1223063-home_default/chocolat-fourre.jpg,https://www.geantdrive.tn/tunis-city/tablettes-et-barres-de-chocolat/28112-chocolat-fourre.html,2026-02-03 08:14:41,epicerie
Bonbon gélifié,0.340,https://cdn.geantdrive.tn/tunis-city/1153325-home_default/bonbon-gelifie.jpg,https://www.geantdrive.tn/tunis-city/bonbons/33893-bonbon-gelifie.html,2026-02-03 08:14:41,epicerie
Bonbon gélifié,0.340,https://cdn.geantdrive.tn/tunis-city/1153327-home_default/bonbon-gelifie.jpg,https://www.geantdrive.tn/tunis-city/bonbons/33894-bonbon-gelifie.html,2026-02-03 08:14:41,epicerie
Barre biscuitée,0.390,https://cdn.geantdrive.tn/tunis-city/1306697-home_default/barre-biscuitee.jpg,https://www.geantdrive.tn/tunis-city/barres-biscuitees/121705-barre-biscuitee.html,2026-02-03 08:14:41,epicerie
Bonbon gélifié,0.390,https://cdn.geantdrive.tn/tunis-city/1223031-home_default/bonbon-gelifie.jpg,https://www.geantdrive.tn/tunis-city/bonbons/29020-bonbon-gelifie.html,2026-02-03 08:14:41,epicerie
Poudre instantanée cho...,0.390,https://cdn.geantdrive.tn/tunis-city/1152904-home_default/poudre-instantanee-chocolat.jpg,https://www.geantdrive.tn/tunis-city/chocolat-en-poudre/30365-poudre-instantanee-chocolat.html,2026-02-03 08:14:41,epicerie
Bonbon gélifié,0.390,https://cdn.geantdrive.tn/tunis-city/1223037-home_default/bonbon-gelifie.jpg,https://www.geantdrive.tn/tunis-city/bonbons/29019-bonbon-gelifie.html,2026-02-03 08:14:42,epicerie
Bonbon,0.400,https://cdn.geantdrive.tn/tunis-city/1310516-home_default/bonbon.jpg,https://www.geantdrive.tn/tunis-city/bonbons/123871-bonbon.html,2026-02-03 08:14:42,epicerie
Couscous moyen,0.400,https://cdn.geantdrive.tn/tunis-city/1257006-home_default/couscous-moyen.jpg,https://www.geantdrive.tn/tunis-city/couscous/80038-couscous-moyen.html,2026-02-03 08:14:42,epicerie
Pâte escargots,0.410,https://cdn.geantdrive.tn/tunis-city/1219814-home_default/pate-escargots.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25539-pate-escargots.html,2026-02-03 08:14:42,epicerie
Pâte fell,0.410,https://cdn.geantdrive.tn/tunis-city/1224753-home_default/pate-fell.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25556-pate-fell.html,2026-02-03 08:14:42,epicerie
Pâte coude,0.410,https://cdn.geantdrive.tn/tunis-city/1225028-home_default/pate-coude.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25569-pate-coude.html,2026-02-03 08:14:42,epicerie
Pâte fell rigati,0.410,https://cdn.geantdrive.tn/tunis-city/1219843-home_default/pate-fell-rigati.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25553-pate-fell-rigati.html,2026-02-03 08:14:42,epicerie
Pâte twist,0.410,https://cdn.geantdrive.tn/tunis-city/1220855-home_default/pate-twist.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25552-pate-twist.html,2026-02-03 08:14:43,epicerie
Pâte ressort,0.410,https://cdn.geantdrive.tn/tunis-city/1219838-home_default/pate-ressort.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25549-pate-ressort.html,2026-02-03 08:14:43,epicerie
Pâte flamengo,0.410,https://cdn.geantdrive.tn/tunis-city/1219840-home_default/pate-flamengo.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25548-pate-flamengo.html,2026-02-03 08:14:43,epicerie
Pâtes coude,0.410,https://cdn.geantdrive.tn/tunis-city/1223082-home_default/pates-coude.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/33051-pates-coude.html,2026-02-03 08:14:43,epicerie
Pâte escargot,0.410,https://cdn.geantdrive.tn/tunis-city/1219898-home_default/pate-escargot.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25544-pate-escargot.html,2026-02-03 08:14:44,epicerie
Pâte plomb fin,0.410,https://cdn.geantdrive.tn/tunis-city/1221109-home_default/pate-plomb-fin.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25543-pate-plomb-fin.html,2026-02-03 08:14:45,epicerie
Pâte Mini Fusilli,0.410,https://cdn.geantdrive.tn/tunis-city/1205758-home_default/pate-mini-fusilli.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25541-pate-mini-fusilli.html,2026-02-03 08:14:45,epicerie
Pâte Mini Penne,0.410,https://cdn.geantdrive.tn/tunis-city/1205761-home_default/pate-mini-penne.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25540-pate-mini-penne.html,2026-02-03 08:14:45,epicerie
Pâte spaghetti,0.410,https://cdn.geantdrive.tn/tunis-city/1226683-home_default/pate-spaghetti.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/28806-pate-spaghetti.html,2026-02-03 08:14:45,epicerie
Pâte coupée ressort,0.410,https://cdn.geantdrive.tn/tunis-city/1225063-home_default/pate-coup-ressor.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25554-pate-coup-ressor.html,2026-02-03 08:14:45,epicerie
Pâte cavatoni,0.410,https://cdn.geantdrive.tn/tunis-city/1219879-home_default/pate-cavatoni.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25537-pate-cavatoni.html,2026-02-03 08:14:45,epicerie
Pâte coquillettes,0.410,https://cdn.geantdrive.tn/tunis-city/1219820-home_default/pate-coquillettes.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25570-pate-coquillettes.html,2026-02-03 08:14:45,epicerie
Pâte fell,0.410,https://cdn.geantdrive.tn/tunis-city/1225010-home_default/pate-fell.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25573-pate-fell.html,2026-02-03 08:14:45,epicerie
Pâte langue d'oiseau,0.410,https://cdn.geantdrive.tn/tunis-city/1310526-home_default/pate-langue-d-oiseau.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/123879-pate-langue-d-oiseau.html,2026-02-03 08:14:46,epicerie
Pâte nouille,0.410,https://cdn.geantdrive.tn/tunis-city/1301686-home_default/pate-nouille.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/119284-pate-nouille.html,2026-02-03 08:14:46,epicerie
Chorba millet,0.410,https://cdn.geantdrive.tn/tunis-city/1344789-home_default/chorba-millet.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/133494-chorba-millet.html,2026-02-03 08:14:46,epicerie
Chorba millet,0.410,https://cdn.geantdrive.tn/tunis-city/1327785-home_default/chorba-millet.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/133518-chorba-millet.html,2026-02-03 08:14:46,epicerie
Pâte spaghetti,0.410,https://cdn.geantdrive.tn/tunis-city/1221116-home_default/pate-spaghetti.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/28799-pate-spaghetti.html,2026-02-03 08:14:46,epicerie
Pâte spaghetti super,0.410,https://cdn.geantdrive.tn/tunis-city/1219848-home_default/pate-spaghetti-super.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/28802-pate-spaghetti-super.html,2026-02-03 08:14:46,epicerie
Pâte spaghetti super,0.410,https://cdn.geantdrive.tn/tunis-city/1219846-home_default/pate-spaghetti-super.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/28804-pate-spaghetti-super.html,2026-02-03 08:14:46,epicerie
Pâte coupée fell,0.410,https://cdn.geantdrive.tn/tunis-city/1267646-home_default/pate-coupee-fell.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/25558-pate-coupee-fell.html,2026-02-03 08:14:47,epicerie
Pâte spaghetti,0.410,https://cdn.geantdrive.tn/tunis-city/1226687-home_default/pate-spaghetti.jpg,https://www.geantdrive.tn/tunis-city/pates-et-chorba/28807-pate-spaghetti.html,2026-02-03 08:14:47,epicerie
Yaourt brassé,0.430,https://cdn.geantdrive.tn/tunis-city/1297746-home_default/yaourt-brasse.jpg,https://www.geantdrive.tn/tunis-city/yaourts-natures-et-aromatises/117184-yaourt-brasse.html,2026-02-03 08:15:12,cremerie_et_surgele
Yaourt brassé,0.430,https://cdn.geantdrive.tn/tunis-city/1282859-home_default/yaourt-brasse.jpg,https://www.geantdrive.tn/tunis-city/yaourts-natures-et-aromatises/24898-yaourt-brasse.html,2026-02-03 08:15:12,cremerie_et_surgele
Yaourt brassé,0.430,https://cdn.geantdrive.tn/tunis-city/1325762-home_default/yaourt-brasse.jpg,https://www.geantdrive.tn/tunis-city/yaourts-natures-et-aromatises/24902-yaourt-brasse.html,2026-02-03 08:15:13,cremerie_et_surgele
Spécialité laitière br...,0.430,https://cdn.geantdrive.tn/tunis-city/1156839-home_default/specialite-laitiere-brassee.jpg,https://www.geantdrive.tn/tunis-city/yaourts-natures-et-aromatises/38312-specialite-laitiere-brassee.html,2026-02-03 08:15:13,cremerie_et_surgele
